M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: before LicenseMgr Init : M=1187.96mb, Malloc-M=235mb, T=0s W=(2025-04-21 15:15:43)
STATS:: after  LicenseMgr Init : M=1193.31mb, Malloc-M=236mb, T=0s W=(2025-04-21 15:15:43)
M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: before VCS Read Task : M=1281.6mb, Malloc-M=271mb, T=0s W=(2025-04-21 15:15:45)
STATS:: after  VCS Read Task : M=1281.6mb, Malloc-M=271mb, T=1s W=(2025-04-21 15:15:46)
STATS:: before Load VCS Message: M=1281.6mb, Malloc-M=269mb, T=0s W=(2025-04-21 15:15:46)
STATS:: after  Load VCS Message: M=1281.6mb, Malloc-M=269mb, T=0s W=(2025-04-21 15:15:46)
STATS:: before NLDM Creation : M=1281.6mb, Malloc-M=269mb, T=0s W=(2025-04-21 15:15:46)
STATS:: |   before LoadCircuitModel : M=1281.6mb, Malloc-M=269mb, T=0s W=(2025-04-21 15:15:46)
STATS:: |   |   before VsiLib_Restore : M=1281.6mb, Malloc-M=269mb, T=0s W=(2025-04-21 15:15:46)
STATS:: |   |   after  VsiLib_Restore : M=1281.6mb, Malloc-M=269mb, T=0s W=(2025-04-21 15:15:46)
STATS:: |   after  LoadCircuitModel : M=1281.6mb, Malloc-M=269mb, T=0s W=(2025-04-21 15:15:46)
STATS:: |   before BuildNetlist : M=1281.6mb, Malloc-M=269mb, T=0s W=(2025-04-21 15:15:46)
STATS:: |   |   before NLDM Build : M=1281.6mb, Malloc-M=269mb, T=0s W=(2025-04-21 15:15:46)
STATS:: |   |   after  NLDM Build : M=1281.6mb, Malloc-M=270mb, T=0s W=(2025-04-21 15:15:46)
STATS:: |   |   before Cell properties : M=1281.6mb, Malloc-M=270mb, T=0s W=(2025-04-21 15:15:46)
STATS:: |   |   after  Cell properties : M=1281.61mb, Malloc-M=270mb, T=0s W=(2025-04-21 15:15:46)
STATS:: |   after  BuildNetlist : M=1281.61mb, Malloc-M=270mb, T=0s W=(2025-04-21 15:15:46)
STATS:: after  NLDM Creation : M=1281.61mb, Malloc-M=270mb, T=0s W=(2025-04-21 15:15:46)
STATS:: before PropertyLoad: Formal Property : M=1281.61mb, Malloc-M=271mb, T=0s W=(2025-04-21 15:15:46)
