Command: /evprj153/projects/DuyQuang_DV1/Labs/ces_sva_2019.06/labs/lab4/./simv -l simv.log +ntb_random_seed=1 +fsdb+functions
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09-SP1-1; Runtime version W-2024.09-SP1-1;  May 20 15:19 2025
VCD+ Writer W-2024.09-SP1-1 Copyright (c) 1991-2024 by Synopsys Inc.
*Verdi* Loading libsscore_vcs202409.so
FSDB Dumper for VCS, Release Verdi_W-2024.09-SP1-1, Linux, 01/11/2025
(C) 1996 - 2025 by Synopsys, Inc.
*Verdi* : Create FSDB file 'novas.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +functions dumping.
*Verdi* : End of traversing.
*Verdi* : Begin traversing the SVA assertions, layer (0).
*Verdi* : Enable +sva_success and +functions dumping.
*Verdi* : End of traversing the SVA assertions.
[NOTE]  4250.0ns Packet #0 Successfully Compared
[NOTE]  4250.0ns Packet #1 Successfully Compared
[NOTE]  4250.0ns Packet #2 Successfully Compared
[NOTE]  4250.0ns Packet #3 Successfully Compared
[NOTE]  4250.0ns Packet #4 Successfully Compared
[NOTE]  5050.0ns Packet #5 Successfully Compared
[NOTE]  5050.0ns Packet #6 Successfully Compared
[NOTE]  5050.0ns Packet #7 Successfully Compared
[NOTE]  5850.0ns Packet #8 Successfully Compared
[NOTE]  5850.0ns Packet #9 Successfully Compared
[NOTE]  6750.0ns Packet #10 Successfully Compared
[NOTE]  8350.0ns Packet #11 Successfully Compared
[NOTE]  8350.0ns Packet #12 Successfully Compared
[NOTE]  8350.0ns Packet #13 Successfully Compared
[NOTE]  8350.0ns Packet #14 Successfully Compared
[NOTE]  9150.0ns Packet #15 Successfully Compared
[NOTE]  9150.0ns Packet #16 Successfully Compared
[NOTE]  9950.0ns Packet #17 Successfully Compared
[NOTE]  9950.0ns Packet #18 Successfully Compared
[NOTE]  9950.0ns Packet #19 Successfully Compared
[NOTE] 10850.0ns Packet #20 Successfully Compared
[NOTE] 11650.0ns Packet #21 Successfully Compared
[NOTE] 12450.0ns Packet #22 Successfully Compared
[NOTE] 12450.0ns Packet #23 Successfully Compared
[NOTE] 12450.0ns Packet #24 Successfully Compared
[NOTE] 12450.0ns Packet #25 Successfully Compared
[NOTE] 12450.0ns Packet #26 Successfully Compared
[NOTE] 13250.0ns Packet #27 Successfully Compared
[NOTE] 13250.0ns Packet #28 Successfully Compared
[NOTE] 13250.0ns Packet #29 Successfully Compared
[NOTE] 13250.0ns Packet #30 Successfully Compared
[NOTE] 13350.0ns Packet #31 Successfully Compared
[NOTE] 14950.0ns Packet #32 Successfully Compared
[NOTE] 15750.0ns Packet #33 Successfully Compared
[NOTE] 15750.0ns Packet #34 Successfully Compared
[NOTE] 15850.0ns Packet #35 Successfully Compared
[NOTE] 16550.0ns Packet #36 Successfully Compared
[NOTE] 16550.0ns Packet #37 Successfully Compared
[NOTE] 16550.0ns Packet #38 Successfully Compared
[NOTE] 16550.0ns Packet #39 Successfully Compared
[NOTE] 16550.0ns Packet #40 Successfully Compared
[NOTE] 16550.0ns Packet #41 Successfully Compared
[NOTE] 16550.0ns Packet #42 Successfully Compared
[NOTE] 17450.0ns Packet #43 Successfully Compared
[NOTE] 19050.0ns Packet #44 Successfully Compared
[NOTE] 19050.0ns Packet #45 Successfully Compared
[NOTE] 19050.0ns Packet #46 Successfully Compared
[NOTE] 19150.0ns Packet #47 Successfully Compared
[NOTE] 19850.0ns Packet #48 Successfully Compared
[NOTE] 19850.0ns Packet #49 Successfully Compared
[NOTE] 19850.0ns Packet #50 Successfully Compared
[NOTE] 20650.0ns Packet #51 Successfully Compared
[NOTE] 20650.0ns Packet #52 Successfully Compared
[NOTE] 21550.0ns Packet #53 Successfully Compared
[NOTE] 21550.0ns Packet #54 Successfully Compared
[NOTE] 22350.0ns Packet #55 Successfully Compared
[NOTE] 22350.0ns Packet #56 Successfully Compared
[NOTE] 22350.0ns Packet #57 Successfully Compared
[NOTE] 22350.0ns Packet #58 Successfully Compared
[NOTE] 22450.0ns Packet #59 Successfully Compared
[NOTE] 23150.0ns Packet #60 Successfully Compared
[NOTE] 23250.0ns Packet #61 Successfully Compared
[NOTE] 23950.0ns Packet #62 Successfully Compared
[NOTE] 24850.0ns Packet #63 Successfully Compared
[NOTE] 24850.0ns Packet #64 Successfully Compared
[NOTE] 24850.0ns Packet #65 Successfully Compared
[NOTE] 24850.0ns Packet #66 Successfully Compared
[NOTE] 25650.0ns Packet #67 Successfully Compared
[NOTE] 25650.0ns Packet #68 Successfully Compared
[NOTE] 26450.0ns Packet #69 Successfully Compared
[NOTE] 26550.0ns Packet #70 Successfully Compared
[NOTE] 27350.0ns Packet #71 Successfully Compared
[NOTE] 27350.0ns Packet #72 Successfully Compared
[NOTE] 27350.0ns Packet #73 Successfully Compared
[NOTE] 28050.0ns Packet #74 Successfully Compared
[NOTE] 28150.0ns Packet #75 Successfully Compared
[NOTE] 28950.0ns Packet #76 Successfully Compared
[NOTE] 29750.0ns Packet #77 Successfully Compared
[NOTE] 29850.0ns Packet #78 Successfully Compared
[NOTE] 29850.0ns Packet #79 Successfully Compared
[NOTE] 30550.0ns Packet #80 Successfully Compared
[NOTE] 30550.0ns Packet #81 Successfully Compared
[NOTE] 30650.0ns Packet #82 Successfully Compared
[NOTE] 32250.0ns Packet #83 Successfully Compared
[NOTE] 32350.0ns Packet #84 Successfully Compared
[NOTE] 33050.0ns Packet #85 Successfully Compared
[NOTE] 33850.0ns Packet #86 Successfully Compared
[NOTE] 33950.0ns Packet #87 Successfully Compared
[NOTE] 33950.0ns Packet #88 Successfully Compared
[NOTE] 33950.0ns Packet #89 Successfully Compared
[NOTE] 33950.0ns Packet #90 Successfully Compared
[NOTE] 34650.0ns Packet #91 Successfully Compared
[NOTE] 35550.0ns Packet #92 Successfully Compared
[NOTE] 35650.0ns Packet #93 Successfully Compared
[NOTE] 36450.0ns Packet #94 Successfully Compared
[NOTE] 36450.0ns Packet #95 Successfully Compared
[NOTE] 37150.0ns Packet #96 Successfully Compared
[NOTE] 37150.0ns Packet #97 Successfully Compared
[NOTE] 38050.0ns Packet #98 Successfully Compared
[NOTE] 38050.0ns Packet #99 Successfully Compared
[NOTE] 38050.0ns Packet #100 Successfully Compared
[NOTE] 38150.0ns Packet #101 Successfully Compared
[NOTE] 38750.0ns Packet #102 Successfully Compared
[NOTE] 38950.0ns Packet #103 Successfully Compared
[NOTE] 38950.0ns Packet #104 Successfully Compared
[NOTE] 39650.0ns Packet #105 Successfully Compared
[NOTE] 39650.0ns Packet #106 Successfully Compared
[NOTE] 39650.0ns Packet #107 Successfully Compared
[NOTE] 41250.0ns Packet #108 Successfully Compared
[NOTE] 41250.0ns Packet #109 Successfully Compared
[NOTE] 42150.0ns Packet #110 Successfully Compared
[NOTE] 42150.0ns Packet #111 Successfully Compared
[NOTE] 42150.0ns Packet #112 Successfully Compared
[NOTE] 42150.0ns Packet #113 Successfully Compared
[NOTE] 42150.0ns Packet #114 Successfully Compared
[NOTE] 42250.0ns Packet #115 Successfully Compared
[NOTE] 42250.0ns Packet #116 Successfully Compared
[NOTE] 43050.0ns Packet #117 Successfully Compared
[NOTE] 43750.0ns Packet #118 Successfully Compared
[NOTE] 44550.0ns Packet #119 Successfully Compared
[NOTE] 44650.0ns Packet #120 Successfully Compared
[NOTE] 44650.0ns Packet #121 Successfully Compared
[NOTE] 44750.0ns Packet #122 Successfully Compared
[NOTE] 45550.0ns Packet #123 Successfully Compared
[NOTE] 46250.0ns Packet #124 Successfully Compared
[NOTE] 46250.0ns Packet #125 Successfully Compared
[NOTE] 46250.0ns Packet #126 Successfully Compared
[NOTE] 46250.0ns Packet #127 Successfully Compared
[NOTE] 46350.0ns Packet #128 Successfully Compared
[NOTE] 47050.0ns Packet #129 Successfully Compared
[NOTE] 47050.0ns Packet #130 Successfully Compared
[NOTE] 48750.0ns Packet #131 Successfully Compared
[NOTE] 48750.0ns Packet #132 Successfully Compared
[NOTE] 48750.0ns Packet #133 Successfully Compared
[NOTE] 48850.0ns Packet #134 Successfully Compared
[NOTE] 49550.0ns Packet #135 Successfully Compared
[NOTE] 49550.0ns Packet #136 Successfully Compared
[NOTE] 49550.0ns Packet #137 Successfully Compared
[NOTE] 50450.0ns Packet #138 Successfully Compared
[NOTE] 51150.0ns Packet #139 Successfully Compared
[NOTE] 51150.0ns Packet #140 Successfully Compared
[NOTE] 52050.0ns Packet #141 Successfully Compared
[NOTE] 52050.0ns Packet #142 Successfully Compared
[NOTE] 52050.0ns Packet #143 Successfully Compared
[NOTE] 52150.0ns Packet #144 Successfully Compared
[NOTE] 53750.0ns Packet #145 Successfully Compared
[NOTE] 54550.0ns Packet #146 Successfully Compared
[NOTE] 54550.0ns Packet #147 Successfully Compared
[NOTE] 54550.0ns Packet #148 Successfully Compared
[NOTE] 54550.0ns Packet #149 Successfully Compared
[NOTE] 55350.0ns Packet #150 Successfully Compared
[NOTE] 55350.0ns Packet #151 Successfully Compared
[NOTE] 55450.0ns Packet #152 Successfully Compared
[NOTE] 57050.0ns Packet #153 Successfully Compared
[NOTE] 57850.0ns Packet #154 Successfully Compared
[NOTE] 57850.0ns Packet #155 Successfully Compared
[NOTE] 57850.0ns Packet #156 Successfully Compared
[NOTE] 57850.0ns Packet #157 Successfully Compared
[NOTE] 57850.0ns Packet #158 Successfully Compared
[NOTE] 58650.0ns Packet #159 Successfully Compared
[NOTE] 58650.0ns Packet #160 Successfully Compared
[NOTE] 58650.0ns Packet #161 Successfully Compared
[NOTE] 60350.0ns Packet #162 Successfully Compared
[NOTE] 60350.0ns Packet #163 Successfully Compared
[NOTE] 61150.0ns Packet #164 Successfully Compared
[NOTE] 61150.0ns Packet #165 Successfully Compared
[NOTE] 61150.0ns Packet #166 Successfully Compared
[NOTE] 61150.0ns Packet #167 Successfully Compared
[NOTE] 61950.0ns Packet #168 Successfully Compared
[NOTE] 61950.0ns Packet #169 Successfully Compared
[NOTE] 61950.0ns Packet #170 Successfully Compared
[NOTE] 61950.0ns Packet #171 Successfully Compared
[NOTE] 62750.0ns Packet #172 Successfully Compared
[NOTE] 62850.0ns Packet #173 Successfully Compared
[NOTE] 63650.0ns Packet #174 Successfully Compared
[NOTE] 64450.0ns Packet #175 Successfully Compared
[NOTE] 64450.0ns Packet #176 Successfully Compared
[NOTE] 65250.0ns Packet #177 Successfully Compared
[NOTE] 65250.0ns Packet #178 Successfully Compared
[NOTE] 65250.0ns Packet #179 Successfully Compared
[NOTE] 65250.0ns Packet #180 Successfully Compared
[NOTE] 65250.0ns Packet #181 Successfully Compared
[NOTE] 66050.0ns Packet #182 Successfully Compared
[NOTE] 66150.0ns Packet #183 Successfully Compared
[NOTE] 66950.0ns Packet #184 Successfully Compared
[NOTE] 67750.0ns Packet #185 Successfully Compared
[NOTE] 67750.0ns Packet #186 Successfully Compared
[NOTE] 68550.0ns Packet #187 Successfully Compared
[NOTE] 68650.0ns Packet #188 Successfully Compared
[NOTE] 68650.0ns Packet #189 Successfully Compared
[NOTE] 69350.0ns Packet #190 Successfully Compared
[NOTE] 70150.0ns Packet #191 Successfully Compared
[NOTE] 71850.0ns Packet #192 Successfully Compared
[NOTE] 72650.0ns Packet #193 Successfully Compared
[NOTE] 72650.0ns Packet #194 Successfully Compared
[NOTE] 72650.0ns Packet #195 Successfully Compared
[NOTE] 75150.0ns Packet #196 Successfully Compared
[NOTE] 75950.0ns Packet #197 Successfully Compared
[NOTE] 76750.0ns Packet #198 Successfully Compared
[NOTE] 78450.0ns Packet #199 Successfully Compared
$finish at simulation time  78450.0ns
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 460: router_test_top.dut.arb_15.loop_A[0].min_g_0_max_e_0.genblk1.A_ASSERT_ARBITER_REQ_GRANTED: started at 78450000ps not finished
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[0].loop_B[1].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[0].loop_B[2].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[0].loop_B[3].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[0].loop_B[4].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[0].loop_B[5].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[0].loop_B[6].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[0].loop_B[7].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[0].loop_B[8].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[0].loop_B[9].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[0].loop_B[10].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[0].loop_B[11].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[0].loop_B[12].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[0].loop_B[13].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[0].loop_B[14].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[0].loop_B[15].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 460: router_test_top.dut.arb_15.loop_A[1].min_g_0_max_e_0.genblk1.A_ASSERT_ARBITER_REQ_GRANTED: started at 78450000ps not finished
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[1].loop_B[0].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[1].loop_B[2].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[1].loop_B[3].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[1].loop_B[4].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[1].loop_B[5].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[1].loop_B[6].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[1].loop_B[7].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[1].loop_B[8].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[1].loop_B[9].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[1].loop_B[10].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
"/global/apps/vcs/2024.09-SP1-1/packages/sva_cg/assert_arbiter.sv", 624: router_test_top.dut.arb_15.loop_A[1].loop_B[11].fairness_check.genblk1.A_ASSERT_ARBITER_FAIRNESS: Antecedent of the implication never satisfied.
