Command: /evprj153/projects/DuyQuang_DV1/Labs/ces_svtb_2019.06/labs/lab6a/./simv -l simv.log +ntb_random_seed=1 -cm line+fsm+tgl
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09-SP1-1; Runtime version W-2024.09-SP1-1;  May 20 13:42 2025
*Verdi* Loading libsscore_vcs202409.so
FSDB Dumper for VCS, Release Verdi_W-2024.09-SP1-1, Linux, 01/11/2025
(C) 1996 - 2025 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file 'novas.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : End of traversing.
VCD+ Writer W-2024.09-SP1-1 Copyright (c) 1991-2024 by Synopsys Inc.
[NOTE]4350.0ns Packet #0 Successfully Compared Cvrg = 4.30
[NOTE]4350.0ns Packet #1 Successfully Compared Cvrg = 8.59
[NOTE]4350.0ns Packet #2 Successfully Compared Cvrg = 12.89
[NOTE]4350.0ns Packet #3 Successfully Compared Cvrg = 17.19
[NOTE]4350.0ns Packet #4 Successfully Compared Cvrg = 21.48
[NOTE]5150.0ns Packet #5 Successfully Compared Cvrg = 25.78
[NOTE]5150.0ns Packet #6 Successfully Compared Cvrg = 30.08
[NOTE]5150.0ns Packet #7 Successfully Compared Cvrg = 34.38
[NOTE]5950.0ns Packet #8 Successfully Compared Cvrg = 38.67
[NOTE]5950.0ns Packet #9 Successfully Compared Cvrg = 42.97
[NOTE]6850.0ns Packet #10 Successfully Compared Cvrg = 45.18
[NOTE]8450.0ns Packet #11 Successfully Compared Cvrg = 47.40
[NOTE]8450.0ns Packet #12 Successfully Compared Cvrg = 47.53
[NOTE]8450.0ns Packet #13 Successfully Compared Cvrg = 49.74
[NOTE]8450.0ns Packet #14 Successfully Compared Cvrg = 51.95
[NOTE]9250.0ns Packet #15 Successfully Compared Cvrg = 52.08
[NOTE]9250.0ns Packet #16 Successfully Compared Cvrg = 54.30
[NOTE]10050.0ns Packet #17 Successfully Compared Cvrg = 54.43
[NOTE]10050.0ns Packet #18 Successfully Compared Cvrg = 56.64
[NOTE]10050.0ns Packet #19 Successfully Compared Cvrg = 58.85
[NOTE]10950.0ns Packet #20 Successfully Compared Cvrg = 61.07
[NOTE]11750.0ns Packet #21 Successfully Compared Cvrg = 61.20
[NOTE]12550.0ns Packet #22 Successfully Compared Cvrg = 63.41
[NOTE]12550.0ns Packet #23 Successfully Compared Cvrg = 63.54
[NOTE]12550.0ns Packet #24 Successfully Compared Cvrg = 63.67
[NOTE]12550.0ns Packet #25 Successfully Compared Cvrg = 63.80
[NOTE]12550.0ns Packet #26 Successfully Compared Cvrg = 63.93
[NOTE]13350.0ns Packet #27 Successfully Compared Cvrg = 64.06
[NOTE]13350.0ns Packet #28 Successfully Compared Cvrg = 64.19
[NOTE]13350.0ns Packet #29 Successfully Compared Cvrg = 64.32
[NOTE]13350.0ns Packet #30 Successfully Compared Cvrg = 64.32
[NOTE]13450.0ns Packet #31 Successfully Compared Cvrg = 64.45
[NOTE]15050.0ns Packet #32 Successfully Compared Cvrg = 64.58
[NOTE]15850.0ns Packet #33 Successfully Compared Cvrg = 64.71
[NOTE]15850.0ns Packet #34 Successfully Compared Cvrg = 64.84
[NOTE]15950.0ns Packet #35 Successfully Compared Cvrg = 64.97
[NOTE]16650.0ns Packet #36 Successfully Compared Cvrg = 67.19
[NOTE]16650.0ns Packet #37 Successfully Compared Cvrg = 69.40
[NOTE]16650.0ns Packet #38 Successfully Compared Cvrg = 69.53
[NOTE]16650.0ns Packet #39 Successfully Compared Cvrg = 69.66
[NOTE]16650.0ns Packet #40 Successfully Compared Cvrg = 69.79
[NOTE]16650.0ns Packet #41 Successfully Compared Cvrg = 69.92
[NOTE]16650.0ns Packet #42 Successfully Compared Cvrg = 70.05
[NOTE]17550.0ns Packet #43 Successfully Compared Cvrg = 70.18
[NOTE]19150.0ns Packet #44 Successfully Compared Cvrg = 70.31
[NOTE]19150.0ns Packet #45 Successfully Compared Cvrg = 70.44
[NOTE]19150.0ns Packet #46 Successfully Compared Cvrg = 70.57
[NOTE]19250.0ns Packet #47 Successfully Compared Cvrg = 70.57
[NOTE]19950.0ns Packet #48 Successfully Compared Cvrg = 72.79
[NOTE]19950.0ns Packet #49 Successfully Compared Cvrg = 72.92
[NOTE]19950.0ns Packet #50 Successfully Compared Cvrg = 73.05
[NOTE]20750.0ns Packet #51 Successfully Compared Cvrg = 73.18
[NOTE]20750.0ns Packet #52 Successfully Compared Cvrg = 73.31
[NOTE]21650.0ns Packet #53 Successfully Compared Cvrg = 73.44
[NOTE]21650.0ns Packet #54 Successfully Compared Cvrg = 73.57
[NOTE]22450.0ns Packet #55 Successfully Compared Cvrg = 73.70
[NOTE]22450.0ns Packet #56 Successfully Compared Cvrg = 73.83
[NOTE]22450.0ns Packet #57 Successfully Compared Cvrg = 73.96
[NOTE]22450.0ns Packet #58 Successfully Compared Cvrg = 74.09
[NOTE]22550.0ns Packet #59 Successfully Compared Cvrg = 74.22
[NOTE]23250.0ns Packet #60 Successfully Compared Cvrg = 74.35
[NOTE]23350.0ns Packet #61 Successfully Compared Cvrg = 74.48
[NOTE]24050.0ns Packet #62 Successfully Compared Cvrg = 74.61
[NOTE]24950.0ns Packet #63 Successfully Compared Cvrg = 74.74
[NOTE]24950.0ns Packet #64 Successfully Compared Cvrg = 74.87
[NOTE]24950.0ns Packet #65 Successfully Compared Cvrg = 75.00
[NOTE]24950.0ns Packet #66 Successfully Compared Cvrg = 75.13
[NOTE]25750.0ns Packet #67 Successfully Compared Cvrg = 75.26
[NOTE]25750.0ns Packet #68 Successfully Compared Cvrg = 75.39
[NOTE]26550.0ns Packet #69 Successfully Compared Cvrg = 75.52
[NOTE]26650.0ns Packet #70 Successfully Compared Cvrg = 75.65
[NOTE]27450.0ns Packet #71 Successfully Compared Cvrg = 75.78
[NOTE]27450.0ns Packet #72 Successfully Compared Cvrg = 75.91
[NOTE]27450.0ns Packet #73 Successfully Compared Cvrg = 75.91
[NOTE]28150.0ns Packet #74 Successfully Compared Cvrg = 76.04
[NOTE]28250.0ns Packet #75 Successfully Compared Cvrg = 76.17
[NOTE]29050.0ns Packet #76 Successfully Compared Cvrg = 76.30
[NOTE]29850.0ns Packet #77 Successfully Compared Cvrg = 76.43
[NOTE]29950.0ns Packet #78 Successfully Compared Cvrg = 76.56
[NOTE]29950.0ns Packet #79 Successfully Compared Cvrg = 76.69
[NOTE]30650.0ns Packet #80 Successfully Compared Cvrg = 76.82
[NOTE]30650.0ns Packet #81 Successfully Compared Cvrg = 76.95
[NOTE]30750.0ns Packet #82 Successfully Compared Cvrg = 77.08
[NOTE]32350.0ns Packet #83 Successfully Compared Cvrg = 77.21
[NOTE]32450.0ns Packet #84 Successfully Compared Cvrg = 77.21
[NOTE]33150.0ns Packet #85 Successfully Compared Cvrg = 77.34
[NOTE]33950.0ns Packet #86 Successfully Compared Cvrg = 77.47
[NOTE]34050.0ns Packet #87 Successfully Compared Cvrg = 77.60
[NOTE]34050.0ns Packet #88 Successfully Compared Cvrg = 77.73
